ID,WBS,Task Name,Duration (days),Start,Finish,Predecessors,Resource Names,Lump-Sum Cost (USD),Resource-Based Cost (USD),Cost1 (Resource-Based),Cost2 (Resource-Based)
1,0.1,Form Steering Committee,30,2025-01-01,2025-01-30,,Project Leadership,200000,180000,180000,180000
2,0.2,Define Vision & Objectives,14,2025-02-01,2025-02-14,1,Project Leadership,50000,45000,45000,45000
3,0.3,Legal advisor engagement,60,2025-01-16,2025-03-16,1,Legal Team,150000,140000,140000,140000
4,0.4,Initial market analysis,45,2025-01-11,2025-02-24,2,Market Analysts,120000,100000,100000,100000
5,0.5,Identify potential pilot corridors,90,2025-01-21,2025-04-20,"2,4",Route Planning Team,300000,270000,270000,270000
6,0.6,Stakeholder mapping & outreach plan,60,2025-01-26,2025-03-26,1,Communications,80000,70000,70000,70000
7,0.7,Initial funding commitments (letters of intent),120,2025-02-10,2025-06-09,3,Finance Team,500000,450000,450000,450000
8,0.8,Create SPV & governance draft,90,2025-02-15,2025-05-15,3,Legal Team,200000,180000,180000,180000
9,0.9,Pre-feasibility report,120,2025-03-02,2025-06-29,5,Engineering,250000,220000,220000,220000
10,0.10,Public relations kickoff & website,30,2025-01-11,2025-02-09,6,Communications,30000,25000,25000,25000
11,0.11,Procurement strategy & PPP model,45,2025-03-22,2025-05-05,"7,8",Procurement,120000,110000,110000,110000
12,0.12,Intellectual property & tech scouting,60,2025-03-27,2025-05-25,6,R&D Team,90000,80000,80000,80000
13,0.13,Early risk register & mitigation plan,30,2025-04-11,2025-05-10,9,Risk Team,40000,35000,35000,35000
14,0.14,Initial environmental scoping,45,2025-04-06,2025-05-20,6,Environmental Consultants,70000,65000,65000,65000
15,0.15,Set up data room & NDA templates,21,2025-02-20,2025-03-12,7,Legal Team,15000,12000,12000,12000
16,0.16,Initial TBM / pylon vendor shortlist,30,2025-04-21,2025-05-20,12,Procurement,40000,35000,35000,35000
17,0.17,Preliminary safety standards review,30,2025-04-26,2025-05-25,12,Safety Team,30000,27000,27000,27000
18,0.18,Preliminary governance treaty outreach,90,2025-05-01,2025-07-29,8,Legal Team,80000,72000,72000,72000
19,0.19,Define KPIs & success metrics,21,2025-05-11,2025-05-31,2,PMO,10000,9000,9000,9000
20,0.20,Set up core office & hire key staff,60,2025-01-11,2025-03-11,1,HR,100000,90000,90000,90000
21,1.1.1,Geotech borings segment 1 (20 boreholes),30,2025-05-31,2025-06-29,,Geotech Team,200000,180000,180000,180000
22,1.1.1,Soil lab testing segment 1,20,2025-07-01,2025-07-20,21,Geotech Lab,80000,72000,72000,72000
23,1.1.1,Groundwater & pore pressure monitoring 1,45,2025-06-10,2025-07-24,21,Hydrogeology Team,60000,54000,54000,54000
24,1.2.1,Environmental sampling segment 1 - marine/terrestrial,25,2025-06-05,2025-06-29,,Environmental Consultants,50000,45000,45000,45000
25,1.3.1,Community consultations segment 1,14,2025-06-15,2025-06-28,,Communications,20000,18000,18000,18000
26,1.1.2,Geotech borings segment 2 (20 boreholes),30,2025-06-10,2025-07-09,,Geotech Team,200000,180000,180000,180000
27,1.1.2,Soil lab testing segment 2,20,2025-07-11,2025-07-30,26,Geotech Lab,80000,72000,72000,72000
28,1.1.2,Groundwater & pore pressure monitoring 2,45,2025-06-20,2025-08-03,26,Hydrogeology Team,60000,54000,54000,54000
29,1.2.2,Environmental sampling segment 2 - marine/terrestrial,25,2025-06-15,2025-07-09,,Environmental Consultants,50000,45000,45000,45000
30,1.3.2,Community consultations segment 2,14,2025-06-25,2025-07-08,,Communications,20000,18000,18000,18000
31,1.1.3,Geotech borings segment 3 (20 boreholes),30,2025-06-20,2025-07-19,,Geotech Team,200000,180000,180000,180000
32,1.1.3,Soil lab testing segment 3,20,2025-07-21,2025-08-09,31,Geotech Lab,80000,72000,72000,72000
33,1.1.3,Groundwater & pore pressure monitoring 3,45,2025-06-30,2025-08-13,31,Hydrogeology Team,60000,54000,54000,54000
34,1.2.3,Environmental sampling segment 3 - marine/terrestrial,25,2025-06-25,2025-07-19,,Environmental Consultants,50000,45000,45000,45000
35,1.3.3,Community consultations segment 3,14,2025-07-05,2025-07-18,,Communications,20000,18000,18000,18000
36,1.1.4,Geotech borings segment 4 (20 boreholes),30,2025-06-30,2025-07-29,,Geotech Team,200000,180000,180000,180000
